mol_name,SMILES,labeled_SMILES,functional_group,journal
"4,4',4''-Nitrilotribenzoic acid (NA)",C1=CC(=CC=C1C(=O)O)N(C2=CC=C(C=C2)C(=O)O)C3=CC=C(C=C3)C(=O)O,C1=CC(=CC=C1C(=[O:1])O)N(C2=CC=C(C=C2)C(=O)O)C3=CC=C(C=C3)C(=O)O,Carboxylic acid,Nature
theophylline,CN1C2=C(C(=O)N(C1=O)C)NC=N2,CN1C2=C(C(=[O:1])N(C1=O)C)NC=N2,Amide (O),Science
caffeine,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,CN1C=NC2=C1C(=[O:1])N(C(=O)N2C)C,Amide (O),Science
theobromine,CN1C=NC2=C1C(=O)NC(=O)N2C,CN1C=NC2=C1C(=[O:1])NC(=O)N2C,Amide (O),Science
DPPP,C1=CC=C(C=C1)P(CCCP(C2=CC=CC=C2)C3=CC=CC=C3)C4=CC=CC=C4,C1=CC=C(C=C1)[P:1](CCCP(C2=CC=CC=C2)C3=CC=CC=C3)C4=CC=CC=C4,Phosphine,Science
2-Pyy,C1=CC=NC(=C1)CCN,C1=CC=NC(=C1)CC[N:1],Amine (primary),Science
2-Pyy,C1=CC=NC(=C1)CCN,C1=CC=[N:1]C(=C1)CCN,Pyridine N,Science
HFIP,C(C(F)(F)F)(C(F)(F)F)O,C(C(F)(F)F)(C(F)(F)F)[O:1],Alcohol,Nature Energy
BAE,C(COCCN)N,C(COCCN)[N:1],Amine (primary),Nature Energy
entinostat,C1=CC=C(C(=C1)N)NC(=O)C2=CC=C(C=C2)CNC(=O)OCC3=CN=CC=C3,C1=CC=C(C(=C1)N)NC(=[O:1])C2=CC=C(C=C2)CNC(=O)OCC3=CN=CC=C3,Amide (O),Nature Photonics
entinostat,C1=CC=C(C(=C1)N)NC(=O)C2=CC=C(C=C2)CNC(=O)OCC3=CN=CC=C3,C1=CC=C(C(=C1)N)NC(=O)C2=CC=C(C=C2)CNC(=[O:1])OCC3=CN=CC=C3,Amide (O)/Ester,Nature Photonics
"1,3,6-Naphthalenetrisulfonic acid",C1=CC2=C(C=C(C=C2C=C1S(=O)(=O)O)S(=O)(=O)O)S(=O)(=O)O,C1=CC2=C(C=C(C=C2C=C1S(=[O:1])(=O)O)S(=O)(=O)O)S(=O)(=O)O,Sulfonic acid,Nature Communications
